NAME	SALARY	TITLE
Bolten, Joshua B	$172,200	Assistant to the President and Chief of Staff
Fielding, Fred F	$172,200	Counsel to the President
Gillespie, Edward W	$172,200	Counselor to the President
Gregor, Joie A	$172,200	Assistant to the President for Presidential Personnel
Hadley, Stephen J	$172,200	Assistant to the President for National Security Affairs
Hagin, Joseph W	$172,200	Assistant to the President and Deputy Chief of Staff
Hennessey, Keith B	$172,200	Assistant to the President for Economic Policy and Director, National Economic Council
Jackson, Barry S	$172,200	Assistant to the President for Strategic Initiatives and External Affairs
Kaplan, Joel D	$172,200	Assistant to the President and Deputy Chief of Staff for Policy
McBride, Anita B	$172,200	Assistant to the President and Chief of Staff to the First Lady
Meyer, Daniel P	$172,200	Assistant to the President for Legislative Affairs
Perino, Dana M	$172,200	Assistant to the President and Press Secretary
Price, Daniel M	$172,200	Assistant to President for International Economic Affairs and Deputy National Security Advisor for International Economic Affairs
Sullivan, Kevin F	$172,200	Assistant to the President for Communications
Thiessen, Marc A	$172,200	Assistant to the President for Speechwriting
Wainstein, Kenneth L	$172,200	Assistant to the President for Homeland Security and Counterterrorism
Yanes, Raul Francisco	$172,200	Assistant to the President and Staff Secretary
Zinsmeister, Walter Karl	$172,200	Assistant to the President for Domestic Policy
Donahue, Thomas Joseph	$158,528	Director, Cyber Policy
Bennett, Melissa S	$158,500	Deputy Assistant to the President for Appointments and Scheduling
Burck, William A	$158,500	Special Counsel to the President
Emling, John G	$158,500	Deputy Assistant to the President for Legislative Affairs
Farren, John Michael	$158,500	Deputy Counsel to the President
Fiddelke, Debbie S	$158,500	Deputy Assistant to the President for Legislative Affairs
Flood, Emmet T	$158,500	Special Counsel to the President
Fratto, Salvatore A	$158,500	Deputy Assistant to the President and Deputy Press Secretary
Gambatesa, Linda M	$158,500	Deputy Assistant to the President for Management and Administration
Mamo, Jean S	$158,500	Deputy Assistant to the President and Director of Media Affairs
Mclntosh, Brent J	$158,500	Deputy Assistant to the President and Deputy Staff Secretary
Stanzel, Scott M	$158,500	Deputy Assistant to the President and Deputy Press Secretary
Sarnacki, Jeffrey P	$149,000	Director Response Policy
Belmar, Adam A	$147,500	Deputy Assistant to the President and Deputy Director of Communications for Production
Bossert, Thomas P	$147,500	Deputy Assistant to the President for Homeland Security
Clark, David M	$147,500	Deputy Assistant to the President and Deputy Director of Presidential Personnel
Cram, Julie E	$147,500	Deputy Assistant to the President and Director of Public Liaison
Creighton, Janet J	$147,500	Deputy Assistant to the President and Director Intergovernmental Affairs
Felts, Jonathan D	$147,500	Deputy Assistant to the President and Director of Political Affairs
Frech, Christopher W	$147,500	Deputy Assistant to the President for Legislative Affairs
Geissinger, Spencer E	$147,500	Deputy Assistant to the President for Advance and Operations
Hein, Jay F	$147,500	Deputy Assistant to the President and Director of the Office of Faith-Based and Community Initiatives
Lozano, Henry C	$147,500	Deputy Assistant to the President and Director of USA Freedom Corps
McCormack, Brian V	$147,500	Deputy Assistant to the President for Strategic Initiatives and External Affairs
Medina, Sonya E	$147,500	Deputy Assistant to the President for Domestic Policy and Director of Projects for the First Lady
Michel, Christopher G	$147,500	Deputy Assistant to the President and Deputy Director of Speechwriting
Moore, Terri M	$147,500	Deputy Assistant to the President and Deputy Director of Communications for Policy and Planning
Scanlon, Joel A	$147,500	Deputy Assistant to the President and Director of Strategic Initiative
Saunders, George T	$146,071	Executive Clerk
Reed, Richard Alan	$132,740	Special Assistant to the President for Homeland Security and Senior Director for Continuity Policy
George, Allison Carr	$130,694	Ethics Advisor
Loughlin, Ann L	$130,694	Associate Counsel to the President
Shields, Brendan Patrick	$130,694	Director Response Policy
Adams, John D	$130,500	Associate Counsel to the President
Boyer, David W	$130,500	Special Assistant to the President for Legislative Affairs
Campagna, Dianna G	$130,500	Special Assistant to the President and Executive Secretary
Coffìna, Scott A	$130,500	Associate Counsel to the President
Dunathan, Amy F	$130,500	Associate Counsel to the President
Edwards, Tobi M	$130,500	Associate Counsel to the President
Fahrenkopf, Leslie A	$130,500	Associate Counsel to the President
Hoang, Francis Q	$130,500	Associate Counsel to the President
Hood, Robert R	$130,500	Special Assistant to the President for Legislative Affairs
Johnston, Ann G	$130,500	Special Assistant to the President for Legislative Affairs
Kadlec, Robert P	$130,500	Special Assistant to the President for Homeland Security and Senior Director for Bio Defense Policy
Karr, Elizabeth Barrett	$130,500	Special Assistant to the President for Legislative Affairs
Kim, Harold H	$130,500	Special Assistant to the President for Legislative Affairs
Lambert, Albert C	$130,500	Associate Counsel to the President
Latimer, Matthew N	$130,500	Special Assistant to the President and Deputy Director of Speechwriting
Lee, Kenneth K	$130,500	Associate Counsel to the President
Lungren, Jeffrey E	$130,500	Special Assistant to the President for Legislative Affairs
McCardell, Daniel J	$130,500	Special Assistant to the President and Deputy Director of Public Liaison
Mccarthy, Justin Joseph	$130,500	Special Assistant to the President for Legislative Affairs
McGuinness, Martin E	$130,500	Special Assistant to the President for Legislative Affairs
Mishi, Alexander M	$130,500	Special Assistant to the President for Legislative Affairs
O'Donoghue, Richard G F	$130,500	Associate Counsel to the President
Patterson, Peter A	$130,500	Associate Counsel to the President
Potts, Stephen D	$130,500	Associate Counsel to the President
Purpura, Michael M	$130,500	Associate Counsel to the President
Reyes, Luis A	$130,500	Special Assistant to the President for Presidential Personnel
Rounds lll, Emory A	$130,500	Associate Counsel to the President
Smith, John M	$130,500	Associate Counsel to the President
Todd, Kathryn C	$130,500	Associate Counsel to the President
Trulio, David V	$130,500	Special Assistant to the President and Executive Secretary
Wichterman, William B	$130,500	Special Assistant to the President and Deputy Associate Director for Outreach and Personal Aide
Williams, Ronald C	$130,500	Special Assistant to the President for Homeland Sec and Senior Director for Nuclear Defense Policy
Droege, Philip C	$126,850	Director of Records Management
Hall, Sabrina Anne	$124,594	Director, Immigration and Visa Security Policy
Kalbaugh, David E	$120,907	Deputy Executive Clerk
Heighberger, Eric B	$119,161	Director of Response Policy
O'Donnell, Robert	$116,800	Director Continuity Policy
Ayer, Rebecca Shawn	$115,317	Deputy Associate Director
Turenne Jr., William Joseph	$115,317	Director of Outreach
Tysarczyk, Eric J	$115,317	Director Preparedness Policy
Hawkins, Monte Briggs	$115,000	Director, Law Enforcement Policy
Aylward, Patrick S	$113,000	Special Assistant to the President and Director, Office of the Chief of Staff
Behrens, William L	$113,000	Special Assistant to the President and Deputy Director of Intergovernmental Affairs
Bergman, Cynthia L	$113,000	Special Assistant to the President for Communications
Bullock, Katja	$113,000	Special Assistant to the President for Presidential Personnel
Dial, Elizabeth H	$113,000	Special Assistant to the President for Intergovernmental Affairs
Jordan, Myriah L	$113,000	Special Assistant to the President for Policy
Kaniewski, Daniel J	$113,000	Special Assistant to the President for Homeland Security and Senior Director for Response Policy
Katz, Jeremy L	$113,000	Special Assistant to the President for Policy
Medefìnd, Jedd E	$113,000	Special Assistant to the President and Deputy Director, Office of Faith-Based and Community Initiatives
Sciarrone, Marie O	$113,000	Special Assistant to the President for Homeland Security and Senior Director for Cyber-security and Information Sharing Policy
Young, Alison T	$113,000	Special Assistant to the President and Deputy Director of USA Freedom Corps
Zantzinger, Amy S	$113,000	Special Assistant to the President and White House Social Secretary
Green, Marcella Moira	$107,836	Ethics Advisor
Simpson, Wandra E	$102,323	Supervisor of Search and File
Armstrong, Sara W	$102,000	Special Assistant to the President and Deputy Chief of Staff to the First Lady
Burch, Therese M	$102,000	Special Assistant to the President and Deputy Director of Advance
Clyne, Meghan L	$102,000	Special Assistant to the President for Speechwriting
Duffy, Rachael L	$102,000	Special Assistant to the President and Deputy Director of Advance for Press
Frans, Luke R	$102,000	Special Assistant to the President and Deputy Director of Political Affairs
Horn, Jonathan D	$102,000	Special Assistant to the President for Speechwriting
Houston, Larhonda M	$102,000	Special Assistant to the President and Deputy Director of Appointments and Scheduling
Keller, Karen E	$102,000	Special Assistant to the President and Personal Secretary
Kyle, Ross M	$102,000	Special Assistant to the President for Cabinet Liaison
Miller, Martha Cagle	$102,000	Special Assistant to the President for Presidential Personnel
Niemiec, Sally M	$102,000	Special Assistant to the President and Director of Communications and Press Secretary to the First Lady
Recher, Jason J	$102,000	Special Assistant to the President and Trip Director
Roberts, John S	$102,000	Special Assistant to the President for Intergovernmental Affairs
Sheedy, Bridget A	$102,000	Special Assistant to the President for White House Mgmt
Sherzer, David L	$102,000	Special Assistant to the President for Strategic Initiatives and External Affairs
Theis, Nancy A	$102,000	Special Assistant to the President and Director of Presidential Correspondence
Weinstein, Jared Berman	$102,000	Special Assistant to the President
Raizk, Paul S	$101,300	Deputy Director of Records Management
Witcher, Eryn M	$100,300	Assistant Press Secretary and Director of Television
Augustine, Rene I	$100,000	Associate Counsel
McDonald, James M	$100,000	Deputy Associate Counsel
Pinto, Ashok M	$100,000	Deputy Associate Counsel
Roper, Glenn E	$100,000	Deputy Associate Counsel
Sutherland, John A	$100,000	Deputy Associate Counsel
McCabe, Matthew P	$99,300	Director, International Programs and Border Security Policy
Balls, Katharine Damask	$98,033	Deputy Communications Director
McCathran, William W	$96,791	Assistant Executive Clerk
Croci, Thomas D	$94,000	Director, Strategy and Resources
Jones, Blair C	$94,000	Deputy Director of Media Affairs and Senior Spokesman
Nank, Timothy D	$94,000	Director, Nuclear Detection Policy
Brown, Jason Bruce	$91,259	Director, Cyber-Security Policy
Campbell, Frances L	$91,259	Supervisor, Document Management and Tracking Unit
Roach, Cynthia L	$91,259	Supervisor of Classification
Thomas, Andrew D	$91,100	Associate Director
Maxwell, Kathryn Thompson	$88,800	Director, Aviation Security Policy
Miller, Sonja Maria	$88,500	Deputy Chief of Staff to the First Lady
Sarkany, Sergio Francisco	$86,279	Ethics Advisor
Crable, Lynn Allison	$86,046	Lead Presidential Support Specialist
Thomas lll, Edwin R	$86,046	Assistant to the Executive Clerk
Carle, Eben Wilson	$85,681	Associate Director Information Sharing Policy
Oliver, Kenneth C	$84,000	Director of Specialty Media
Taggart Jr, Hugh T	$83,720	Assistant Supervisor of Search and File
Roddick, Gertrude A	$81,394	Director of Mail Analysis
Race, Karen E	$80,500	Director of White House Personnel
Tucker, Phyllis J	$79,068	Supervisor of Computer Administration
Ballard, Deanna M	$78,400	Director of Scheduling for the First Lady
Kennedy, Timothy A	$78,400	Director, Continuity Policy
Speight Watson, Kerri Lynn	$77,200	Deputy Director Presidential Correspondence
Brooke, Mary J	$76,742	Supervisor of Correspondence Review
Jones, Crystal B	$76,742	Assistant Supervisor Document Management and Tracking Unit
Showers, Wendy W	$76,742	Presidential Support Specialist
Southerland, Virginia L	$75,669	Shift Leader
Purcell, Kristopher N	$75,200	Associate Director
Bakke, Mary Beth	$73,800	Executive Assistant to the Counsel to the President
O'Brien, William S	$73,100	Director, Communications Systems and Cyber Security Policy
Schmerin, Daniel E	$73,100	Director Preparedness Policy
Lawrimore, Emily A	$72,100	Assistant Press Secretary
